location				5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
irWaitSecs				0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
idleTime				1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	
direction				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
latched				true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	
doorsOpen				false	true	true	true	false	false	true	false	false	true	false	false	true	false	false	true	false	false	true	false	false	true	false	false	true	
doorsOpenedOnFloor				false	true	true	true	true	false	true	true	false	true	true	false	true	true	false	true	true	false	true	true	false	true	true	false	true	
sound				false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	
irSensor				true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	
doorOpenButton				false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	
doorCloseButton				false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	
x19				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
x1000				[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	[I@327471b5	
x20				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	
				
				
